instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
90,2,0,3,0,4,1,3,11.001653,12.87875,91.8333,14.582282,1685
91,2,0,4,0,5,1,2,12.3,14.1727,68.625,17.333436,2227
92,2,0,4,0,6,0,2,12.915,15.78185,65.375,13.208782,2252
93,2,0,4,0,0,0,1,15.511653,18.93835,48,12.208271,3249
94,2,0,4,0,1,1,1,23.506653,27.14645,42.625,25.833257,3115
95,2,0,4,0,2,1,2,16.980847,19.9175,64.2083,26.000489,1795
96,2,0,4,0,3,1,1,16.024153,19.3804,47.0833,17.625221,2808
97,2,0,4,0,4,1,1,17.9375,21.6848,60.2917,10.874904,3141
98,2,0,4,0,5,1,2,13.769153,16.22395,83.625,15.208464,1471
99,2,0,4,0,6,0,2,14.0425,17.07645,87.75,8.916561,2455
100,2,0,4,0,0,0,2,17.493347,21.33685,85.75,9.833389,2895
101,2,0,4,0,1,1,2,24.421732,28.26085,71.6956,21.739758,3348
102,2,0,4,0,2,1,2,20.6025,24.6527,73.9167,18.416893,2034
103,2,0,4,0,3,1,2,16.9125,20.86415,81.9167,16.791339,2162
104,2,0,4,0,4,1,1,19.1675,23.1371,54.0417,7.4169,3267
105,2,0,4,1,5,0,1,18.313347,22.09565,67.125,15.167125,3126
106,2,0,4,0,6,0,3,17.664153,21.2746,88.8333,22.834136,795
107,2,0,4,0,0,0,1,18.723347,22.2848,47.9583,20.334232,3744
108,2,0,4,0,1,1,1,21.0125,25.1573,54.25,10.958989,3429
109,2,0,4,0,2,1,2,20.739153,24.4629,66.5833,10.584057,3204
110,2,0,4,0,3,1,1,24.395,28.2196,61.4167,16.208975,3944
111,2,0,4,0,4,1,1,18.825847,22.6946,40.7083,21.792286,4189
112,2,0,4,0,5,1,2,13.803347,16.0977,72.9583,14.707907,1683
113,2,0,4,0,6,0,2,18.86,22.50605,88.7917,15.458575,4036
114,2,0,4,0,0,0,2,23.848347,27.58815,81.0833,12.875725,4191
115,2,0,4,0,1,1,1,24.873347,28.725,77.6667,12.417311,4073
116,2,0,4,0,2,1,1,25.898347,29.70415,72.9167,21.8755,4400
117,2,0,4,0,3,1,2,25.42,28.7571,83.5417,20.9174,3872
118,2,0,4,0,4,1,2,25.3175,28.94645,70.0833,21.500836,4058
119,2,0,4,0,5,1,1,20.91,24.87315,45.7083,16.084221,4595
120,2,0,4,0,6,0,1,19.3725,23.20105,50.3333,15.750025,5312
121,2,0,5,0,0,0,2,18.518347,22.4102,76.2083,7.125718,3351
122,2,0,5,0,1,1,2,22.515847,26.64165,73,12.291418,4401
123,2,0,5,0,2,1,2,25.283347,29.10395,69.7083,22.958689,4451
124,2,0,5,0,3,1,2,16.980847,20.2325,73.7083,22.042732,2633
125,2,0,5,0,4,1,1,18.825847,22.09585,44.4167,19.791264,4433
126,2,0,5,0,5,1,1,19.645847,23.70585,59,15.292482,4608
127,2,0,5,0,6,0,1,21.32,25.63105,54.125,10.75015,4714
128,2,0,5,0,0,0,1,21.661653,25.94665,63.1667,5.0007125,4333
129,2,0,5,0,1,1,1,21.8325,26.2623,58.875,11.792,4362
130,2,0,5,0,2,1,1,21.8325,26.13605,48.9167,7.749957,4803
131,2,0,5,0,3,1,1,22.2425,26.42,63.2917,8.083014,4182
132,2,0,5,0,4,1,1,21.935,26.16815,74.75,12.707689,4864
133,2,0,5,0,5,1,2,21.0125,24.715,86.3333,12.041575,4105
134,2,0,5,0,6,0,2,21.354153,25.03145,92.25,9.04165,3409
135,2,0,5,0,0,0,2,23.0625,26.8,86.7083,10.249593,4553
136,2,0,5,0,1,1,1,23.6775,27.5256,78.7917,8.500357,3958
137,2,0,5,0,2,1,2,23.028347,26.92645,83.7917,18.582718,4123
138,2,0,5,0,3,1,2,22.55,26.3579,87,13.499964,3855
139,2,0,5,0,4,1,2,21.764153,25.5371,82.9583,7.250271,4575
140,2,0,5,0,5,1,1,22.003347,26.4521,71.9583,8.375871,4917
141,2,0,5,0,6,0,1,24.7025,28.59875,62.6667,8.08355,5805
142,2,0,5,0,0,0,1,24.770847,28.725,74.9583,9.916536,4660
143,2,0,5,0,1,1,2,25.898347,29.5148,81,15.667414,4274
144,2,0,5,0,2,1,2,27.06,30.24065,74.0833,13.875164,4492
145,2,0,5,0,3,1,1,27.094153,30.7771,69.625,10.333611,4978
146,2,0,5,0,4,1,1,29.041653,32.7344,67.75,13.376014,4677
147,2,0,5,0,5,1,1,27.948347,31.8504,65.375,16.125493,4679
148,2,0,5,0,6,0,1,26.889153,30.61895,72.9583,15.416164,4758
149,2,0,5,0,0,0,1,27.3675,30.7775,81.875,14.333846,4788
150,2,0,5,1,1,0,1,30.066653,33.5546,68.5,8.792075,4098
151,2,0,5,0,2,1,1,31.775,36.26915,63.6667,7.459043,3982
152,2,0,6,0,3,1,2,31.330847,36.04835,67.7083,13.875164,3974
153,2,0,6,0,4,1,1,29.315,32.1971,30.5,19.583229,4968
154,2,0,6,0,5,1,1,25.42,29.35665,35.4167,16.959107,5312
155,2,0,6,0,6,0,1,26.035,29.7348,45.625,8.250514,5342
156,2,0,6,0,0,0,2,26.581653,30.8402,65.25,9.292364,4906
157,2,0,6,0,1,1,1,27.811653,31.0929,60,8.167032,4548
158,2,0,6,0,2,1,1,29.0075,32.7975,59.7917,12.583136,4833
159,2,0,6,0,3,1,1,31.809153,36.36395,62.2083,9.166739,4401
160,2,0,6,0,4,1,2,33.141653,37.87895,56.8333,10.042161,3915
161,2,0,6,0,5,1,1,30.955,35.1646,60.5,9.417118,4586
162,2,0,6,0,6,0,1,29.725,33.9019,65.4583,10.37495,4966
163,2,0,6,0,0,0,1,28.3925,32.16625,74.7917,10.958989,4460
164,2,0,6,0,1,1,1,26.035,30.0827,49.4583,20.45845,5020
165,2,0,6,0,2,1,1,24.770847,29.5773,50.7083,18.041961,4891
166,2,0,6,0,3,1,1,25.693347,29.3877,47.1667,11.250104,5180
167,2,0,6,0,4,1,2,25.761653,29.7673,68.8333,13.833557,3767
168,2,0,6,0,5,1,1,26.615847,30.01915,73.5833,9.582943,4844
169,2,0,6,0,6,0,1,28.563347,32.1977,67.0417,8.000336,5119
170,2,0,6,0,0,0,2,28.665847,32.2923,66.6667,6.834,4744
171,2,0,6,0,1,1,2,26.035,29.7673,74.625,10.416825,4010
172,3,0,6,0,2,1,2,27.914153,31.8823,77.0417,11.458675,4835
173,3,0,6,0,3,1,1,30.066653,34.69145,70.75,11.541554,4507
174,3,0,6,0,4,1,2,29.861653,34.69165,70.3333,15.999868,4790
175,3,0,6,0,5,1,1,29.690847,32.82915,57.3333,14.875675,4991
176,3,0,6,0,6,0,1,28.495,32.16565,48.3333,14.041257,5202
177,3,0,6,0,0,0,1,27.88,31.88145,51.3333,6.3337311,5305
178,3,0,6,0,1,1,2,27.9825,31.8502,65.8333,7.208396,4708
179,3,0,6,0,2,1,1,30.510847,34.6279,63.4167,9.666961,4648
180,3,0,6,0,3,1,1,29.861653,32.7344,49.7917,17.542007,5225
181,3,0,6,0,4,1,1,28.563347,31.8504,43.4167,12.415904,5515
182,3,0,7,0,5,1,1,29.6225,32.6081,39.625,6.874736,5362
183,3,0,7,0,6,0,1,30.271653,33.3654,44.4583,7.709154,5119
184,3,0,7,0,0,0,2,29.383347,33.42875,68.25,15.333486,4649
185,3,0,7,1,1,0,2,29.793347,33.27085,63.7917,5.4591064,6043
186,3,0,7,0,2,1,1,30.613347,34.8169,59.0417,8.459286,4665
187,3,0,7,0,3,1,1,29.52,34.28165,74.3333,10.042161,4629
188,3,0,7,0,4,1,1,30.75,34.34355,65.125,10.6664,4592
189,3,0,7,0,5,1,2,29.075847,33.52415,75.7917,15.083643,4040
190,3,0,7,0,6,0,1,30.066653,33.2079,60.9167,11.250104,5336
191,3,0,7,0,0,0,1,30.6475,34.50125,57.8333,12.292557,4881
192,3,0,7,0,1,1,1,31.2625,36.4902,63.5833,18.916579,4086
193,3,0,7,0,2,1,1,32.560847,36.96375,55.9167,13.417018,4258
194,3,0,7,0,3,1,1,30.613347,34.4702,63.1667,9.790911,4342
195,3,0,7,0,4,1,1,27.914153,31.7552,47.625,16.124689,5084
196,3,0,7,0,5,1,1,27.196653,31.21855,59.125,12.249811,5538
197,3,0,7,0,6,0,1,28.153347,31.91315,58.5,13.958914,5923
198,3,0,7,0,0,0,1,29.485847,33.49165,60.4167,16.417211,5302
199,3,0,7,0,1,1,1,30.613347,35.19625,65.125,14.458868,4458
200,3,0,7,0,2,1,1,31.843347,37.37395,65.0417,8.7502,4541
201,3,0,7,0,3,1,1,31.501653,37.3425,70.7083,7.625739,4332
202,3,0,7,0,4,1,2,33.415,41.31855,69.125,14.875407,3784
203,3,0,7,0,5,1,1,34.781653,42.0448,58.0417,8.9177,3387
204,3,0,7,0,6,0,1,34.815847,40.21435,50,8.791807,3285
205,3,0,7,0,0,0,1,34.03,39.74145,55.0833,11.334457,3606
206,3,0,7,0,1,1,1,30.476653,36.0479,75.7083,6.0841561,3840
207,3,0,7,0,2,1,1,31.638347,34.84895,54.0833,13.417286,4590
208,3,0,7,0,3,1,1,31.775,34.53335,40.2917,12.292021,4656
209,3,0,7,0,4,1,1,31.945847,36.995,58.3333,11.958093,4390
210,3,0,7,0,5,1,1,34.371653,39.29835,54.25,11.667246,3846
211,3,0,7,0,6,0,1,32.970847,36.42685,46.5833,11.291979,4475
212,3,0,7,0,0,0,1,33.039153,36.4898,48.0833,11.042471,4302
213,3,0,8,0,1,1,1,31.638347,35.1646,55.0833,10.500039,4266
214,3,0,8,0,2,1,1,32.116653,35.35355,49.125,13.79195,4845
215,3,0,8,0,3,1,2,29.998347,33.99685,65.75,9.084061,3574
216,3,0,8,0,4,1,2,29.11,33.2394,75.75,13.20905,4576
217,3,0,8,0,5,1,1,29.144153,32.82835,63.0833,12.374632,4866
218,3,0,8,0,6,0,2,29.383347,33.8077,75.5,15.29275,4294
219,3,0,8,0,0,0,1,30.4425,35.7646,75.2917,13.499629,3785
220,3,0,8,0,1,1,1,31.365,35.16415,59.2083,12.875725,4326
221,3,0,8,0,2,1,1,31.775,36.20605,57.0417,10.125107,4602
222,3,0,8,0,3,1,1,31.433347,34.24915,42.4167,13.417286,4780
223,3,0,8,0,4,1,1,29.4175,32.57605,42.375,11.041332,4792
224,3,0,8,0,5,1,1,29.041653,32.7021,41.5,8.416607,4905
225,3,0,8,0,6,0,2,28.119153,32.2929,72.9583,14.167418,4150
226,3,0,8,0,0,0,2,27.743347,31.2194,81.75,14.916411,3820
227,3,0,8,0,1,1,1,27.299153,30.80835,71.2083,13.999918,4338
228,3,0,8,0,2,1,1,28.734153,32.29185,57.8333,15.834043,4725
229,3,0,8,0,3,1,1,29.656653,33.33355,57.5417,9.625689,4694
230,3,0,8,0,4,1,1,29.178347,33.1129,65.4583,15.624936,3805
231,3,0,8,0,5,1,2,28.085,31.66105,72.2917,9.333636,4153
232,3,0,8,0,6,0,1,28.5975,32.4498,67.4167,6.999289,5191
233,3,0,8,0,0,0,1,29.144153,33.77625,77,16.666518,3873
234,3,0,8,0,1,1,1,28.358347,31.9127,47,18.54225,4758
235,3,0,8,0,2,1,1,26.274153,30.30335,45.5417,9.833121,5895
236,3,0,8,0,3,1,1,27.606653,31.5346,60.5,16.958236,5130
237,3,0,8,0,4,1,2,28.050847,32.2927,77.1667,14.125811,3542
238,3,0,8,0,5,1,1,28.7,32.98665,76.125,5.6254875,4661
239,3,0,8,0,6,0,2,27.88,31.7778,85,25.166339,1115
240,3,0,8,0,0,0,1,28.989419,32.39795,56.1765,20.412153,4334
241,3,0,8,0,1,1,1,26.103347,30.3979,55.4583,10.708275,4634
242,3,0,8,0,2,1,1,26.205847,29.7352,54.8333,8.375536,5204
243,3,0,8,0,3,1,1,26.923347,30.55605,59.7917,5.5833311,5058
244,3,0,9,0,4,1,1,26.855,30.74605,63.9167,9.500332,5115
245,3,0,9,0,5,1,2,26.376653,30.2404,72.7083,9.375243,4727
246,3,0,9,0,6,0,1,27.435847,31.66065,71.6667,12.416775,4484
247,3,0,9,0,0,0,1,29.075847,33.27145,74.2083,13.833289,4940
248,3,0,9,1,1,0,2,27.606653,31.2823,79.0417,14.250632,3351
249,3,0,9,0,2,1,3,22.14,25.76,88.6957,23.044181,2710
250,3,0,9,0,3,1,3,24.565847,27.21145,91.7083,6.5003936,1996
251,3,0,9,0,4,1,3,25.990433,27.76805,93.9565,12.914116,1842
252,3,0,9,0,5,1,2,26.65,28.9473,89.7917,8.333393,3544
253,3,0,9,0,6,0,1,27.06,30.3981,75.375,10.291736,5345
254,3,0,9,0,0,0,1,26.786653,30.46145,71.375,7.708618,5046
255,3,0,9,0,1,1,1,26.418268,30.1065,69.2174,5.957171,4713
256,3,0,9,0,2,1,1,26.684153,30.1777,71.25,9.500868,4763
257,3,0,9,0,3,1,1,27.606653,31.345,69.7083,11.2091,4785
258,3,0,9,0,4,1,2,23.6775,27.68355,70.9167,18.166782,3659
259,3,0,9,0,5,1,2,19.235847,23.07375,59.0417,11.000261,4760
260,3,0,9,0,6,0,2,20.158347,23.9256,71.8333,12.708225,4511
261,3,0,9,0,0,0,1,20.8075,24.52685,69.5,11.958361,4274
262,3,0,9,0,1,1,2,22.515847,26.48375,69,10.166714,4539
263,3,0,9,0,2,1,2,23.028347,26.61085,88.125,9.041918,3641
264,3,0,9,0,3,1,2,24.395,27.52665,90,6.4590814,4352
265,3,0,9,0,4,1,2,25.761653,27.74815,90.2083,8.584375,4795
266,4,0,9,0,5,1,2,24.975847,26.10625,97.25,5.2505689,2395
267,4,0,9,0,6,0,2,24.873347,28.2206,86.25,5.2516811,5423
268,4,0,9,0,0,0,2,26.000847,28.63185,84.5,3.3754064,5010
269,4,0,9,0,1,1,2,26.615847,29.4521,84.8333,7.4169,4630
270,4,0,9,0,2,1,2,26.103347,28.72625,88.5417,7.917457,4120
271,4,0,9,0,3,1,2,26.035,28.7579,84.875,9.958143,3907
272,4,0,9,0,4,1,1,25.283347,28.7256,69.9167,11.583161,4839
273,4,0,9,0,5,1,1,23.130847,27.24145,64.75,13.833825,5202
274,4,0,10,0,6,0,2,16.81,20.64315,75.375,19.583832,2429
275,4,0,10,0,0,0,2,14.623347,17.26585,79.1667,14.874871,2918
276,4,0,10,0,1,1,2,15.750847,19.6023,76.0833,5.5841686,3570
277,4,0,10,0,2,1,1,19.850847,23.6429,71,13.792218,4456
278,4,0,10,0,3,1,1,22.071653,26.3569,64.7917,11.87575,4826
279,4,0,10,0,4,1,1,20.260847,24.02125,62.0833,9.041918,4765
280,4,0,10,0,5,1,1,20.944153,25.2202,68.4167,1.5002439,4985
281,4,0,10,0,6,0,1,21.388347,25.6621,70.125,3.0420814,5409
282,4,0,10,0,0,0,1,22.174153,26.19915,72.75,4.25115,5511
283,4,0,10,1,1,0,1,23.404153,27.14625,73.375,2.8343814,5117
284,4,0,10,0,2,1,2,23.233347,27.3048,80.875,9.583814,4563
285,4,0,10,0,3,1,3,22.276653,25.88585,90.625,16.62605,2416
286,4,0,10,0,4,1,2,24.155847,27.5902,89.6667,9.499729,2913
287,4,0,10,0,5,1,2,22.584153,26.48375,71.625,15.000161,3644
288,4,0,10,0,6,0,1,20.773347,24.93625,48.3333,17.291561,5217
289,4,0,10,0,0,0,1,20.978347,25.1577,48.6667,18.875039,5041
290,4,0,10,0,1,1,1,21.900847,25.53625,57.9583,11.750393,4570
291,4,0,10,0,2,1,2,21.8325,26.13605,70.1667,7.375829,4748
292,4,0,10,0,3,1,3,22.211299,25.6924,89.5217,16.303713,2424
293,4,0,10,0,4,1,1,19.509153,23.32625,63.625,28.292425,4195
294,4,0,10,0,5,1,1,17.5275,21.1798,57.4167,14.833532,4304
295,4,0,10,0,6,0,1,17.3225,21.2746,62.9167,6.2086689,4308
296,4,0,10,0,0,0,1,17.288347,21.11665,74.125,6.6673375,4381
297,4,0,10,0,1,1,1,18.996653,22.85335,77.2083,7.959064,4187
298,4,0,10,0,2,1,1,19.338347,23.16875,62.2917,11.166086,4687
299,4,0,10,0,3,1,2,19.850847,23.6423,72.0417,9.959014,3894
300,4,0,10,0,4,1,2,19.27,22.8523,81.2917,13.250121,2659
301,4,0,10,0,5,1,2,13.564153,15.9406,58.5833,15.375093,3747
302,4,0,10,0,6,0,3,10.420847,11.39565,88.25,23.541857,627
303,4,0,10,0,0,0,1,13.085847,16.06645,62.375,11.833339,3331
304,4,0,10,0,1,1,1,13.94,17.80315,70.3333,7.12545,3669
305,4,0,11,0,2,1,1,16.434153,19.8544,68.375,9.083257,4068
306,4,0,11,0,3,1,1,15.4775,19.50665,71.875,5.5001439,4186
307,4,0,11,0,4,1,1,16.741653,20.29605,70.2083,9.166739,3974
308,4,0,11,0,5,1,2,16.536653,20.1696,62.25,18.209193,4046
309,4,0,11,0,6,0,1,13.393347,16.1927,51.9167,12.667154,3926
310,4,0,11,0,0,0,1,14.281653,18.1179,73.4583,6.1676314,3649
311,4,0,11,0,1,1,1,16.195,20.04355,75.875,3.834075,4035
312,4,0,11,0,2,1,1,16.741653,20.6123,72.1667,4.6255125,4205
313,4,0,11,0,3,1,1,16.4,20.45395,75.8333,4.1671186,4109
314,4,0,11,0,4,1,2,15.58,18.68605,81.3333,12.667489,2933
315,4,0,11,1,5,0,1,13.290847,15.34085,44.625,21.083225,3368
316,4,0,11,0,6,0,1,14.623347,17.8971,55.2917,14.208154,4067
317,4,0,11,0,0,0,1,18.074153,21.5275,45.8333,18.875307,3717
318,4,0,11,0,1,1,1,21.73,26.2306,58.7083,20.541932,4486
319,4,0,11,0,2,1,2,21.73,25.37895,68.875,13.375411,4195
320,4,0,11,0,3,1,3,18.723347,22.5994,93,9.167543,1817
321,4,0,11,0,4,1,2,14.008347,16.16105,57.5833,20.459254,3053
322,4,0,11,0,5,1,1,11.240847,13.63605,41,11.291711,3392
323,4,0,11,0,6,0,1,13.495847,16.22415,50.2083,15.041232,3663
324,4,0,11,0,0,0,2,18.996653,22.8529,68.4583,12.45865,3520
325,4,0,11,0,1,1,3,18.3475,22.2531,91,9.249618,2765
326,4,0,11,0,2,1,3,17.083347,21.0848,96.25,7.959064,1607
327,4,0,11,0,3,1,2,18.074153,21.52685,75.7917,22.500275,2566
328,4,0,11,1,4,0,1,15.306653,18.62355,54.9167,11.209368,1495
329,4,0,11,0,5,1,1,15.375,19.03355,64.375,6.6260186,2792
330,4,0,11,0,6,0,1,15.409153,19.25435,68.1667,4.5841936,3068
331,4,0,11,0,0,0,1,18.825847,22.79,69.8333,13.999918,3071
332,4,0,11,0,1,1,1,20.642598,24.5061,74.3043,9.522174,3867
333,4,0,11,0,2,1,2,18.791653,22.56875,83.0833,17.292164,2914
334,4,0,11,0,3,1,1,13.325,15.56105,61.3333,18.167586,3613
335,4,0,12,0,4,1,1,12.8125,15.2777,52.4583,14.750586,3727
336,4,0,12,0,5,1,1,12.880847,16.57165,62.5833,6.750518,3940
337,4,0,12,0,6,0,1,12.265847,15.5302,61.2917,6.4174811,3614
338,4,0,12,0,0,0,1,13.564153,17.455,77.5833,5.6252061,3485
339,4,0,12,0,1,1,2,15.819153,19.69625,82.7083,4.1679561,3811
340,4,0,12,0,2,1,3,18.9625,22.82,94.9583,15.583061,2594
341,4,0,12,0,3,1,3,16.81,20.0123,97.0417,17.833725,705
342,4,0,12,0,4,1,1,10.899153,12.8469,58,16.083886,3322
343,4,0,12,0,5,1,1,11.924153,15.8771,69.5833,5.5420189,3620
344,4,0,12,0,6,0,1,11.275,13.3206,50.75,15.625807,3190
345,4,0,12,0,0,0,1,9.054153,12.6577,49,4.4582939,2743
346,4,0,12,0,1,1,1,9.771653,13.5098,67.0833,4.25115,3310
347,4,0,12,0,2,1,1,11.5825,15.0569,59,9.41685,3523
348,4,0,12,0,3,1,2,13.0175,16.9181,66.375,4.0842061,3740
349,4,0,12,0,4,1,2,17.3225,20.61185,63.4167,17.958814,3709
350,4,0,12,0,5,1,2,15.375,17.99125,50.0417,17.458525,3577
351,4,0,12,0,6,0,2,10.591653,12.46855,56.0833,16.292189,2739
352,4,0,12,0,0,0,1,9.771653,12.27895,58.625,11.375193,2431
353,4,0,12,0,1,1,1,11.343347,14.04665,63.75,11.584032,3403
354,4,0,12,0,2,1,2,15.819153,19.8227,59.5417,4.1252436,3750
355,1,0,12,0,3,1,2,17.561653,21.40085,85.8333,14.8338,2660
356,1,0,12,0,4,1,2,17.356653,21.30605,75.75,3.167425,3068
357,1,0,12,0,5,1,1,15.306653,18.87565,68.625,18.374482,2209
358,1,0,12,0,6,0,1,12.4025,14.9621,54.25,12.750368,1011
359,1,0,12,0,0,0,1,11.266103,13.99805,68.1304,10.391097,754
360,1,0,12,1,1,0,1,13.191299,15.77675,50.6957,16.044155,1317
361,1,0,12,0,2,1,2,13.325,16.38165,76.25,12.62615,1162
362,1,0,12,0,3,1,1,12.26433,13.9987,50.3913,19.695387,2302
